CanalID,Nome_Canal,Plataforma,Data_Criacao,Data_Alteracao,Usuario_Criacao,Usuario_Alteracao
1,Telefone,Intercom,"2024-07-15 00:00:00","2025-06-04 00:00:00","Uma Brito","Ginger da Cruz"
2,Chat,Five9,"2020-02-15 00:00:00","2024-10-10 00:00:00","Hope de Assis","Blake Paiva"
3,Telefone,SproutSocial,"2021-01-31 00:00:00","2025-02-10 00:00:00","Aimee Batista","Aphrodite Moreira"
4,Chat,SalesforeceServiceNow,"2020-07-25 00:00:00","2025-04-16 00:00:00","Autumn de Azevedo","Daria Rodrigues"
5,SMS,Five9,"2024-08-11 00:00:00","2025-01-06 00:00:00","Christian Candido","Erica Henrique"
6,Chat,HootSuite,"2022-07-29 00:00:00","2025-08-24 00:00:00","Eagan Das Neves","Akeem do Nascimento"
7,WhatsApp,Freshdesk,"2024-06-13 00:00:00","2025-02-03 00:00:00","Fleur Carvalho","Chandler Galdino"
8,App,HootSuite,"2023-06-08 00:00:00","2025-01-19 00:00:00","Skyler de Brito","Yvette Moreira"
9,E-mail,SproutSocial,"2022-06-19 00:00:00","2023-10-29 00:00:00","Uriel Machado","Chloe Rosa"
10,SMS,SalesforeceServiceNow,"2023-05-16 00:00:00","2024-04-04 00:00:00","Serena Sousa","Rudyard Guedes"
11,Chat,SalesforeceServiceNow,"2022-05-02 00:00:00","2025-05-12 00:00:00","Malcolm Cavalcante","Kareem Maia"
12,RedesSociais,Drift,"2021-05-08 00:00:00","2025-09-12 00:00:00","Sybil Moreira","Georgia de Carvalho"
13,E-mail,Zendesk,"2020-05-06 00:00:00","2025-08-25 00:00:00","Ezra Dantas","Xander Coutinho"
14,Telegram,HootSuite,"2021-10-22 00:00:00","2025-03-03 00:00:00","Cally Vieira","Chester Maciel"
15,Telefone,Intercom,"2020-03-22 00:00:00","2025-01-25 00:00:00","Melissa Leite","Trevor Freire"
16,Telefone,SalesforeceServiceNow,"2020-04-25 00:00:00","2024-12-04 00:00:00","Holmes Lima","Mohammad Vasconcelos"
17,SMS,HootSuite,"2020-07-06 00:00:00","2024-07-07 00:00:00","Jane Feitosa","Wayne Guimaraes"
18,Telegram,Intercom,"2024-05-09 00:00:00","2024-02-22 00:00:00","Madison Camargo","Petra Chaves"
19,Chatbot,Zendesk,"2024-01-11 00:00:00","2025-01-23 00:00:00","Germaine de Jesus","Logan Castro"
20,SMS,Intercom,"2020-02-08 00:00:00","2023-12-18 00:00:00","Cara do Carmo","Hammett Soares"
21,E-mail,Freshdesk,"2024-05-22 00:00:00","2024-11-22 00:00:00","Germane Reis","Herman do Nascimento"
22,Chat,SproutSocial,"2020-07-07 00:00:00","2024-01-22 00:00:00","Yen de Paula","Sawyer de Jesus"
23,E-mail,SproutSocial,"2022-01-14 00:00:00","2024-09-09 00:00:00","Mannix dos Reis","Eugenia Figueiredo"
24,Chatbot,Intercom,"2024-05-01 00:00:00","2025-04-15 00:00:00","Thane Henrique","Zena Cordeiro"
25,E-mail,Zendesk,"2020-02-25 00:00:00","2025-03-20 00:00:00","Sandra Sales","Berk Barros"
26,E-mail,Intercom,"2022-07-15 00:00:00","2024-04-21 00:00:00","Hamilton Braz","Meghan Leal"
27,RedesSociais,Five9,"2022-09-04 00:00:00","2025-02-17 00:00:00","Otto Almeida","Oliver de Jesus"
28,Chatbot,Five9,"2023-11-20 00:00:00","2024-10-12 00:00:00","Alvin Magalhaes","Trevor Messias"
29,Chatbot,Drift,"2020-05-13 00:00:00","2024-06-04 00:00:00","Cleo Figueiredo","Maya Inacio"
30,Telefone,Freshdesk,"2020-01-17 00:00:00","2025-01-14 00:00:00","Ima Viana","Rhoda Rocha"
31,Chatbot,Five9,"2023-11-29 00:00:00","2023-10-25 00:00:00","Nomlanga Bispo","Aquila Brandao"
32,Telefone,Ticketing,"2021-08-13 00:00:00","2024-07-29 00:00:00","Zephr Cruz","Remedios da Cruz"
33,Telegram,LiveChat,"2023-10-04 00:00:00","2024-11-21 00:00:00","Micah Das Gracas","Ruth Sampaio"
34,Chat,HootSuite,"2023-07-13 00:00:00","2025-08-05 00:00:00","Castor Sousa","Seth Freire"
35,RedesSociais,Freshdesk,"2021-03-26 00:00:00","2024-02-29 00:00:00","Salvador Figueiredo","Sade Figueiredo"
36,Telegram,LiveChat,"2024-07-14 00:00:00","2024-02-29 00:00:00","Amaya Bispo","Barbara Sousa"
37,SMS,SproutSocial,"2020-12-28 00:00:00","2023-12-08 00:00:00","Mason Paiva","Lillian Rosa"
38,E-mail,Intercom,"2021-11-16 00:00:00","2025-01-20 00:00:00","Knox Teixeira","Gil de Brito"
39,Chatbot,HootSuite,"2022-09-09 00:00:00","2024-05-21 00:00:00","Nichole Bueno","Plato Dias"
40,RedesSociais,Ticketing,"2023-05-03 00:00:00","2025-03-31 00:00:00","Maris Camargo","Karina Sampaio"
41,E-mail,SproutSocial,"2023-12-28 00:00:00","2024-08-23 00:00:00","Suki de Barros","Ingrid Teles"
42,RedesSociais,HootSuite,"2020-08-26 00:00:00","2025-03-04 00:00:00","Hyatt Sántos","Yeo Guimaraes"
43,App,LiveChat,"2022-06-29 00:00:00","2025-09-16 00:00:00","Francesca de Abreu","Carly Rodrigues"
44,Telefone,Zendesk,"2024-08-07 00:00:00","2023-12-11 00:00:00","Cameron Sántos","Odette Garcia"
45,App,HootSuite,"2024-08-03 00:00:00","2023-12-06 00:00:00","Otto Viana","Garrison Cavalcante"
46,SMS,Drift,"2023-04-10 00:00:00","2024-02-05 00:00:00","Mason Moreira","Keefe dos Anjos"
47,WhatsApp,LiveChat,"2021-05-18 00:00:00","2023-11-30 00:00:00","Myra Ribeiro","Anastasia Domingues"
48,App,HootSuite,"2020-04-13 00:00:00","2024-10-12 00:00:00","Lilah Cunha","Davis Abreu"
49,WhatsApp,HootSuite,"2023-11-11 00:00:00","2024-10-31 00:00:00","Steel de Moura","Kristen Nonato"
50,SMS,SproutSocial,"2020-10-17 00:00:00","2025-04-18 00:00:00","Amos Camargo","Daniel de Santana"
51,Telegram,LiveChat,"2024-07-10 00:00:00","2024-09-23 00:00:00","Wanda Custodio","Garth de Fatima"
52,WhatsApp,HootSuite,"2024-09-15 00:00:00","2024-05-12 00:00:00","Cameron da Cruz","Kenyon de Almeida"
53,Chatbot,Intercom,"2023-08-28 00:00:00","2024-01-25 00:00:00","Jonas Monteiro","Rinah Silva"
54,Chat,Ticketing,"2020-09-17 00:00:00","2023-12-26 00:00:00","Candace Andrade","Daria Braga"
55,E-mail,HootSuite,"2020-12-23 00:00:00","2024-10-16 00:00:00","Marvin Galdino","Wyatt Melo"
56,Chat,Intercom,"2022-06-23 00:00:00","2023-10-09 00:00:00","Brooke Andrade","Jordan Messias"
57,Chatbot,Drift,"2021-12-03 00:00:00","2025-03-01 00:00:00","Scarlett da Cruz","Jaquelyn Duarte"
58,RedesSociais,LiveChat,"2024-05-19 00:00:00","2025-07-19 00:00:00","Callie Das Gracas","Lance de Melo"
59,Telegram,Freshdesk,"2023-10-05 00:00:00","2024-08-21 00:00:00","Charissa Franco","Eleanor de Araujo"
60,WhatsApp,Intercom,"2020-06-22 00:00:00","2023-12-19 00:00:00","August de Brito","Chadwick Abreu"
61,RedesSociais,LiveChat,"2023-05-26 00:00:00","2025-08-11 00:00:00","Tiger de Moraes","Holly Queiroz"
62,Telegram,SalesforeceServiceNow,"2022-06-19 00:00:00","2023-10-21 00:00:00","Fritz Ferraz","Autumn de Freitas"
63,Telegram,Intercom,"2021-01-27 00:00:00","2025-07-30 00:00:00","Kai Magalhaes","George Rodrigues"
